"CompoundID","WT-Fe","WT+Fe","log2fc","pvalue","FDR","VIP","Compound_name","Name","mean_peak","ions","CD_Check","mf","mw","RT","KEGG","High_identical"
"Compound_0011",5694748.92866667,5243967.685,0.118973442241262,0.637078338092204,0.707083868744828,0.374129702550854,"(+)-notoamide L","(+)-notoamide L",3349661.241,"pos",FALSE,"C25H29N3O4",435.21364,8.184,NA,TRUE
"Compound_0012",2227050.22866667,1448352.93096667,0.620720899364232,0.132006833400551,0.235410076821693,0.911680459388326,"(+/-) Salsolinol","(+/-) Salsolinol",2038265.278,"pos",TRUE,"C10H13NO2",179.09391,6.261,NA,FALSE
"Compound_0013",2756867.23666667,2081634.05333333,0.405313324368808,0.0335983862706156,0.105920336378551,1.128079585364,"(+/-)-trans-Acenaphthene-1_2-diol","(+/-)-trans-Acenaphthene-1_2-diol-isoform1",2457209.003,"pos",FALSE,"C12H10O2",186.06737,7.9,NA,FALSE
"Compound_0014",32594965.9033333,10812639.1996667,1.59193046025429,0.00962055026474801,0.0604197673106076,1.28593805993414,"(+/-)-trans-Acenaphthene-1_2-diol","(+/-)-trans-Acenaphthene-1_2-diol-isoform2",22328080.25,"pos",FALSE,"C12H10O2",186.06731,9.217,NA,FALSE
"Compound_0015",2113740.312,1363385.79076667,0.632604289843779,0.0845218688067923,0.177238642593725,1.12888616466738,"(+/-)-trans-Acenaphthene-1_2-diol","(+/-)-trans-Acenaphthene-1_2-diol-isoform3",2147269.167,"pos",FALSE,"C12H10O2",186.06728,11.232,NA,FALSE
"Compound_0016",104837099.6,73354043.0066667,0.515200956770468,0.0669375743595065,0.156777484604362,1.14819513955962,"(1E)-3-hydroxy-3-[(4Z)-3-hydroxy-5-oxo-4-(2-{[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}ethylidene)oxolan-2-yl]-2-methylprop-1-en-1-yl (2E)-3-(4-hydroxyphenyl)prop-2-enoate","(1E)-3-hydroxy-3-[(4Z)-3-hydroxy-5-oxo-4-(2-{[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}ethylidene)oxolan-2-yl]-2-methylprop-1-en-1-yl (2E)-3-(4-hydroxyphenyl)prop-2-enoate",80263257.2,"pos",FALSE,"C25H30O13",560.1477,10.834,NA,FALSE
"Compound_0017",168912806,92291541.68,0.872008369982966,0.0234688330974945,0.0876546778340156,1.15336765149683,"(1R_2S)-1-Hydroxypropane-1_2_3-tricarboxylate","(1R_2S)-1-Hydroxypropane-1_2_3-tricarboxylate",126923990.1,"pos",FALSE,"C6H8O7",192.02616,1.541,NA,FALSE
"Compound_0018",2421677.692,2820268.219,-0.219825509920453,0.414677761288064,0.513857852095803,0.554856463973595,"(1R_6R)-6-Hydroxy-2-succinylcyclohexa-2_4-diene-1-carboxylate","(1R_6R)-6-Hydroxy-2-succinylcyclohexa-2_4-diene-1-carboxylate-isoform1",3209956.36,"pos",FALSE,"C11H12O6",240.06238,1.135,NA,FALSE
"Compound_0019",2351522.64866667,2414885.50366667,-0.0383595609952433,0.88077454116469,0.909628343457147,0.458710804841075,"(1R_6R)-6-Hydroxy-2-succinylcyclohexa-2_4-diene-1-carboxylate","(1R_6R)-6-Hydroxy-2-succinylcyclohexa-2_4-diene-1-carboxylate-isoform2",2390597.401,"pos",FALSE,"C11H12O6",240.0624,9.899,NA,FALSE
"Compound_0020",20390221.5466667,6132332.73733333,1.73336956665956,0.0169162147610636,0.0749336877096842,1.21734757184098,"(1R,2R,5S,8R,10R,14R)-20-hydroxy-1,2,14,18,18-pentamethyl-17-oxo-8-(prop-1-en-2-yl)pentacyclo[11.8.0.0Â?,Âaâ°.0âµ,âa.0Âaâ´,Âaâa]henicosane-5-carboxylic acid","(1R,2R,5S,8R,10R,14R)-20-hydroxy-1,2,14,18,18-pentamethyl-17-oxo-8-(prop-1-en-2-yl)pentacyclo[11.8.0.0Â?,Âaâ°.0âµ,âa.0Âaâ´,Âaâa]henicosane-5-carboxylic acid",12826951.28,"pos",TRUE,"C30H46O4",470.33777,18.505,NA,FALSE
"Compound_0021",16340014.7433333,12987810.924,0.331250998008426,0.337601339731155,0.445979042542577,0.725341786458942,"(1R,3R,4S,5R)-1,3,4-trihydroxy-5-[(E)-3-(4-hydroxyphenyl)prop-2-enoyl]oxycyclohexane-1-carboxylic acid","(1R,3R,4S,5R)-1,3,4-trihydroxy-5-[(E)-3-(4-hydroxyphenyl)prop-2-enoyl]oxycyclohexane-1-carboxylic acid",17242325.42,"pos",TRUE,"C16H18O8",338.09857,11.222,NA,TRUE
"Compound_0022",18641091.54,9017892.968,1.04762404825447,0.0426903566558247,0.121598871944616,1.13959920016416,"(1R,9S)-11-(3-Methoxypropanoyl)-3-(2-thienyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","(1R,9S)-11-(3-Methoxypropanoyl)-3-(2-thienyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one",16687389.74,"pos",FALSE,"C19H22N2O3S",380.12188,10.998,NA,FALSE
"Compound_0023",408329553.366667,527855857.4,-0.370410035676927,0.619727830926986,0.693141169888271,0.485738741805281,"(1S,2S,3aR,4S,5S,9R,11R,13aS)-4,9,11-tris(acetyloxy)-3a-hydroxy-2,5,8,8,12-pentamethyl-1H,2H,3H,3aH,4H,5H,8H,9H,10H,11H,13aH-cyclopenta[12]annulen-1-yl benzoate","(1S,2S,3aR,4S,5S,9R,11R,13aS)-4,9,11-tris(acetyloxy)-3a-hydroxy-2,5,8,8,12-pentamethyl-1H,2H,3H,3aH,4H,5H,8H,9H,10H,11H,13aH-cyclopenta[12]annulen-1-yl benzoate",181612459.3,"pos",FALSE,"C33H44O9",606.28129,21.26,NA,FALSE
"Compound_0024",16036267.6866667,13592471.86,0.238530563723346,0.345183557547432,0.453099094592959,0.659327346410911,"(1S,4aS,7aS)-7-[[(E)-3-phenylprop-2-enoyl]oxymethyl]-1-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-1,4a,5,7a-tetrahydrocyclopenta[c]pyran-4-carboxylic acid","(1S,4aS,7aS)-7-[[(E)-3-phenylprop-2-enoyl]oxymethyl]-1-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-1,4a,5,7a-tetrahydrocyclopenta[c]pyran-4-carboxylic acid",23351269.26,"pos",TRUE,"C25H28O11",504.16064,11.52,NA,FALSE
"Compound_0025",8076340.01133333,3817140.24433333,1.08120945582208,0.0578161968943042,0.143193243972578,1.08603989406814,"(1Z,5Z)-1,5-Bis({[3-(4-methyl-1-piperazinyl)propyl]amino}methylene)-1,5-dihydro-2,6-naphthalenedione","(1Z,5Z)-1,5-Bis({[3-(4-methyl-1-piperazinyl)propyl]amino}methylene)-1,5-dihydro-2,6-naphthalenedione",4890468.394,"pos",FALSE,"C28H42N6O2",494.3365,19.112,NA,FALSE
"Compound_0026",22822846.82,36221023.7166667,-0.666348563640679,0.0668667073178805,0.156777484604362,1.11267406661393,"(2-oxo-2,3-dihydro-1H-indol-3-yl)acetic acid","(2-oxo-2,3-dihydro-1H-indol-3-yl)acetic acid",30187960.08,"pos",TRUE,"C10H9NO3",191.05743,10.445,NA,TRUE
"Compound_0027",32090496.5233333,7740611.22466667,2.05162671600453,0.0402427222005501,0.117506221810084,1.21510503260215,"(22E)-Cholesta-4,6,8(14),22-tetraen-3-on","(22E)-Cholesta-4,6,8(14),22-tetraen-3-on",13522061.48,"pos",FALSE,"C27H38O",378.29061,17.2,NA,TRUE
"Compound_0028",994355.1593,2924555.52766667,-1.55638423709222,0.0330389071801776,0.105588260060361,1.22933852788147,"(22E)-Stigmasta-3,5,22-triene","(22E)-Stigmasta-3,5,22-triene",2950950.813,"pos",FALSE,"C29H46",394.3584,18.645,NA,FALSE
"Compound_0029",724155.479266667,1834940.041,-1.34136153349263,0.0184035659055799,0.0782534616701735,1.23783146726507,"(24R_24'R)-Fucosterolepoxide","(24R_24'R)-Fucosterolepoxide",1865508.095,"pos",FALSE,"C29H48O2",428.36338,20.011,NA,FALSE
"Compound_0030",2187614.50033333,1299826.5878,0.751039366414284,0.0454322049859768,0.125013737622574,1.17078146176251,"(2E,4Z)-4-(Carboxymethylene)-5-hydroxy-2-heptenedioic acid","(2E,4Z)-4-(Carboxymethylene)-5-hydroxy-2-heptenedioic acid",2016549.924,"pos",FALSE,"C9H10O7",230.0416,6.122,NA,FALSE
"Compound_0031",20779802.1866667,12587347.3466667,0.723207638549469,0.0177982285118495,0.0773474416636449,1.21286684275808,"(2E)-3-(4-methoxy-2-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}phenyl)prop-2-enoic acid","(2E)-3-(4-methoxy-2-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}phenyl)prop-2-enoic acid-isoform1",25460975.42,"pos",FALSE,"C16H20O9",378.09096,6.563,NA,FALSE
"Compound_0032",15944046.8033333,9056737.382,0.815954520791656,0.0255836319734719,0.0913350392910899,1.14640410053472,"(2E)-3-(4-methoxy-2-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}phenyl)prop-2-enoic acid","(2E)-3-(4-methoxy-2-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}phenyl)prop-2-enoic acid-isoform2",15074117.69,"pos",FALSE,"C16H20O9",378.09107,8.766,NA,FALSE
"Compound_0033",3022330.44866667,1332578.34176667,1.18144105626069,0.00383575363488194,0.0505662936500562,1.25268733025729,"(2R,3R,4S,5S,6R)-2-[(E)-3-[3,5-dimethoxy-4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]prop-2-enoxy]-6-(hydroxymethyl)oxane-3,4,5-triol","(2R,3R,4S,5S,6R)-2-[(E)-3-[3,5-dimethoxy-4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]prop-2-enoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",2388024.776,"pos",FALSE,"C23H34O14",551.21867,6.217,NA,FALSE
"Compound_0034",3806252.29333333,3530526.54566667,0.108487827986337,0.656267756670301,0.722404817216819,0.310485609239165,"(2R,3S,4S,5R,6R)-2-(hydroxymethyl)-6-(propan-2-yloxy)oxane-3,4,5-triol","(2R,3S,4S,5R,6R)-2-(hydroxymethyl)-6-(propan-2-yloxy)oxane-3,4,5-triol",6552898.006,"pos",TRUE,"C9H18O6",222.10931,2.564,NA,TRUE
"Compound_0035",3468777.63266667,1451007.29076667,1.2573725906407,0.0104147760341006,0.0615117104111306,1.21738999925885,"(2R,3S,4S,5R,6R)-2-(hydroxymethyl)-6-[[(2R,3S,4S,5R,6S)-3,4,5-trihydroxy-6-[4-[(E)-3-hydroxyprop-1-enyl]-2,6-dimethoxyphenoxy]oxan-2-yl]methoxy]oxane-3,4,5-triol","(2R,3S,4S,5R,6R)-2-(hydroxymethyl)-6-[[(2R,3S,4S,5R,6S)-3,4,5-trihydroxy-6-[4-[(E)-3-hydroxyprop-1-enyl]-2,6-dimethoxyphenoxy]oxan-2-yl]methoxy]oxane-3,4,5-triol",2554496.889,"pos",FALSE,"C23H34O14",556.174,6.218,NA,FALSE
"Compound_0036",7556305.49766667,4125976.368,0.872945472299381,0.0262207970093705,0.0928965379760553,1.23827649811921,"(2R,3S,4S,5R,6R)-5-{[(2S,3R,4R)-3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]oxy}-2-(hydroxymethyl)-6-(2-phenylethoxy)oxane-3,4-diol","(2R,3S,4S,5R,6R)-5-{[(2S,3R,4R)-3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]oxy}-2-(hydroxymethyl)-6-(2-phenylethoxy)oxane-3,4-diol",5869628.065,"pos",FALSE,"C19H28O10",438.14818,6.863,NA,FALSE
"Compound_0037",49141192.5266667,21503550.0633333,1.19235801167813,0.00690702829092994,0.0537534419294129,1.2811389654297,"(2S,3R,4S,5S,6R)-2-[4-[(3R,4S)-4-hydroxy-4-[(4-hydroxy-3-methoxyphenyl)methyl]-3-(hydroxymethyl)oxolan-2-yl]-2-methoxyphenoxy]-6-(hydroxymethyl)oxane-3,4,5-triol","(2S,3R,4S,5S,6R)-2-[4-[(3R,4S)-4-hydroxy-4-[(4-hydroxy-3-methoxyphenyl)methyl]-3-(hydroxymethyl)oxolan-2-yl]-2-methoxyphenoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",39568895.88,"pos",FALSE,"C26H34O12",560.1841,7.38,NA,FALSE
"Compound_0038",6366659.47933333,1540831.41243333,2.04682758341455,0.0304456226758938,0.101483795110015,1.20810719681571,"(2S,3R,4S,5S,6R)-2-[4-[(E)-2-(3,5-dihydroxyphenyl)ethenyl]-2-methoxyphenoxy]-6-(hydroxymethyl)oxane-3,4,5-triol","(2S,3R,4S,5S,6R)-2-[4-[(E)-2-(3,5-dihydroxyphenyl)ethenyl]-2-methoxyphenoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",3531566.367,"pos",FALSE,"C21H24O9",398.15922,6.944,NA,FALSE
"Compound_0039",3036233.809,10052401.2286667,-1.72718536410911,0.0128565169431281,0.0666991865729633,1.26913588081888,"(2S,3R,4S,5S,6R)-2-{3-hydroxy-5-[(E)-2-(4-hydroxy-3-methoxyphenyl)ethenyl]phenoxy}-6-(hydroxymethyl)oxane-3,4,5-triol","(2S,3R,4S,5S,6R)-2-{3-hydroxy-5-[(E)-2-(4-hydroxy-3-methoxyphenyl)ethenyl]phenoxy}-6-(hydroxymethyl)oxane-3,4,5-triol",8006952.346,"pos",FALSE,"C21H24O9",442.12187,10.178,NA,FALSE
"Compound_0040",8509629.99333333,3773457.64266667,1.17320932360275,0.00614621295473757,0.0517283081258457,1.25728064565887,"(2S,3S,4R)-2-Amino-3,4-dihydroxyoctadecyl alpha-D-galactopyranoside","(2S,3S,4R)-2-Amino-3,4-dihydroxyoctadecyl alpha-D-galactopyranoside",5845816.606,"pos",FALSE,"C24H49NO8",479.34426,20.031,NA,TRUE
"Compound_0041",75210792.2,40443270.6266667,0.89504002099977,0.0130743656717271,0.066992617491494,1.28673776506507,"(2S)-2-Amino-4-{[(3R,4R,5R)-3,4,5-trihydroxytetrahydro-2H-pyran-2-yl]sulfanyl}butanoic acid","(2S)-2-Amino-4-{[(3R,4R,5R)-3,4,5-trihydroxytetrahydro-2H-pyran-2-yl]sulfanyl}butanoic acid",47439148.69,"pos",FALSE,"C9H17NO6S",267.07639,1.159,NA,FALSE
"Compound_0042",29639499.7466667,8864255.20966667,1.74144977459591,0.00256083320874925,0.0436101730269014,1.27058168929628,"(2Z,4E)-2-hydroxymuconic acid","(2Z,4E)-2-hydroxymuconic acid-isoform1",21947720.54,"pos",FALSE,"C6H6O5",158.02081,1.856,NA,TRUE
"Compound_0043",6792327.97166667,1914304.32833333,1.82708592011648,0.0105389173962269,0.0615117104111306,1.2332843722053,"(2Z,4E)-2-hydroxymuconic acid","(2Z,4E)-2-hydroxymuconic acid-isoform2",5648656.709,"pos",FALSE,"C6H6O5",158.02082,4.53,NA,TRUE
"Compound_0044",9644664.78433333,3468533.037,1.47540546999022,0.0785498009796219,0.170689393723549,1.13375803445559,"(3-Acryloxypropyl)dimethylmethoxysilane","(3-Acryloxypropyl)dimethylmethoxysilane",8236488.09,"pos",FALSE,"C9H18O3Si",202.1019,8.621,NA,TRUE
"Compound_0045",3927806.60466667,2820314.72133333,0.477867733538974,0.366274484580089,0.470490705330778,0.667168315514349,"(3-aminopropyl)(L-aspartyl-1-amino)phosphoryl-5'-adenosine","(3-aminopropyl)(L-aspartyl-1-amino)phosphoryl-5'-adenosine",5187994.378,"pos",FALSE,"C17H27N8O9P",518.16376,14.566,NA,TRUE
"Compound_0046",15753162.5966667,11408434.3316667,0.465540679460198,0.132596347334923,0.235811262704269,1.01644797204579,"(3'-hydroxybutan-20-yl)5-oxopyrrolidine-2-carboxylate","(3'-hydroxybutan-20-yl)5-oxopyrrolidine-2-carboxylate-isoform1",14503611.21,"pos",FALSE,"C9H15NO4",201.09918,4.357,NA,TRUE
"Compound_0047",15686452.4766667,6695232.041,1.22831315881071,0.21059999749988,0.319246939975368,0.943205679345421,"(3'-hydroxybutan-20-yl)5-oxopyrrolidine-2-carboxylate","(3'-hydroxybutan-20-yl)5-oxopyrrolidine-2-carboxylate-isoform2",15871359.29,"pos",FALSE,"C9H15NO4",201.09929,7.668,NA,TRUE
"Compound_0048",12347898.3466667,8768253.02066667,0.493904176143072,0.0425497821221424,0.121570806063264,1.15430516036898,"(3aS,4aR,7aS,9bS)-3-Ethyl-2-oxo-3,3a,7a,9b-tetrahydro-2H,4aH-1,4,5-trioxadicyclopenta[a,hi]indene-7-carboxylic acid","(3aS,4aR,7aS,9bS)-3-Ethyl-2-oxo-3,3a,7a,9b-tetrahydro-2H,4aH-1,4,5-trioxadicyclopenta[a,hi]indene-7-carboxylic acid",11510369.78,"pos",FALSE,"C14H14O6",260.06734,9.487,NA,FALSE
"Compound_0049",9074068.63766667,6827892.24466667,0.41030928204724,0.127071125057195,0.230813672529824,1.01581309237694,"(3aS,4R,5S,7aR)-4,5-dihydroxy-7-methyl-3a,4,5,7a-tetrahydrobenzo[1,3]dioxol-2-one","(3aS,4R,5S,7aR)-4,5-dihydroxy-7-methyl-3a,4,5,7a-tetrahydrobenzo[1,3]dioxol-2-one",8617426.353,"pos",FALSE,"C8H10O5",186.0521,9.049,NA,TRUE
"Compound_0050",2894198.80933333,2350366.92833333,0.300278026193774,0.38170671106476,0.483963519141413,0.626945313327356,"(3R,4R,5R)-4-Hydroxy-5-(hydroxymethyl)-3-pyrrolidinyl beta-D-glucopyranoside","(3R,4R,5R)-4-Hydroxy-5-(hydroxymethyl)-3-pyrrolidinyl beta-D-glucopyranoside",3637939.217,"pos",FALSE,"C11H21NO8",295.12676,5.581,NA,FALSE
"Compound_0051",1414126.8119,455684.326666667,1.63380484489928,0.0351496052785468,0.10878247224309,1.19191664340119,"(3r)-4-(P-Toluenesulfonyl)-1,4-Thiazane-3-Carboxylicacid-L-Leucine","(3r)-4-(P-Toluenesulfonyl)-1,4-Thiazane-3-Carboxylicacid-L-Leucine",1378292.424,"pos",FALSE,"C18H26N2O5S2",414.12723,8.741,NA,TRUE
"Compound_0052",17777955.0433333,12184116.9766667,0.545087685909316,0.0139416882133821,0.0695215551659271,1.24598757583228,"(3R)-8-hydroxy-3-(4-methoxyphenyl)-3,4-dihydro-1H-2-benzopyran-1-one","(3R)-8-hydroxy-3-(4-methoxyphenyl)-3,4-dihydro-1H-2-benzopyran-1-one",16103678.78,"pos",FALSE,"C16H14O4",260.04619,10.198,NA,FALSE
"Compound_0053",1153011.77033333,485387.376666667,1.24819874625843,0.0249153102539399,0.0901604612302105,1.16886898149082,"(3S)-1-[2-[2,2,2-tris(4-methoxyphenyl)ethoxy]ethyl]-3-piperidinecarboxylic acid","(3S)-1-[2-[2,2,2-tris(4-methoxyphenyl)ethoxy]ethyl]-3-piperidinecarboxylic acid",1174469.957,"pos",FALSE,"C31H37NO6",519.26234,8.74,NA,TRUE
"Compound_0054",1617315.705,1354422.74533333,0.255923218537836,0.312551120009994,0.423720906135998,0.793979503827369,"(4aZ,8aZ,10Z,14aZ,18aZ,20Z)-Tetrabenzo[b,d,h,j][1,6]diazacyclododecine","(4aZ,8aZ,10Z,14aZ,18aZ,20Z)-Tetrabenzo[b,d,h,j][1,6]diazacyclododecine",1780287.534,"pos",FALSE,"C26H18N2",358.14713,2.139,NA,FALSE
"Compound_0055",22865843.9933333,23109726.6333333,-0.0153060232100488,0.954417890907916,0.964267939754874,0.452150280012268,"(4S,5Z,6S)-4-(2-methoxy-2-oxoethyl)-5-[2-[(E)-3-phenylprop-2-enoyl]oxyethylidene]-6-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4H-pyran-3-carboxylic acid","(4S,5Z,6S)-4-(2-methoxy-2-oxoethyl)-5-[2-[(E)-3-phenylprop-2-enoyl]oxyethylidene]-6-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4H-pyran-3-carboxylic acid-isoform1",15511441.46,"pos",FALSE,"C11H10O4",174.03079,7.548,NA,FALSE
"Compound_0056",1095435801.76667,744529317.2,0.557104373587906,0.0601483537567062,0.147205181562465,1.09092302432713,"(4S,5Z,6S)-4-(2-methoxy-2-oxoethyl)-5-[2-[(E)-3-phenylprop-2-enoyl]oxyethylidene]-6-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4H-pyran-3-carboxylic acid","(4S,5Z,6S)-4-(2-methoxy-2-oxoethyl)-5-[2-[(E)-3-phenylprop-2-enoyl]oxyethylidene]-6-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4H-pyran-3-carboxylic acid-isoform2",1061387500,"pos",FALSE,"C9H10O2",206.05679,9.05,NA,FALSE
"Compound_0057",12485365.1666667,9704724.223,0.363478895327611,0.0312577685764725,0.102538711732344,1.13917514129824,"(4S,5Z,6S)-4-(2-methoxy-2-oxoethyl)-5-[2-[(E)-3-phenylprop-2-enoyl]oxyethylidene]-6-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4H-pyran-3-carboxylic acid","(4S,5Z,6S)-4-(2-methoxy-2-oxoethyl)-5-[2-[(E)-3-phenylprop-2-enoyl]oxyethylidene]-6-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4H-pyran-3-carboxylic acid-isoform3",11589535.58,"pos",FALSE,"C9H10O2",206.05699,10.897,NA,FALSE
"Compound_0058",4507331.00166667,7923304.31433333,-0.813828813489178,0.388689340742319,0.490507212059906,0.746918221867507,"(4S,5Z,6S)-4-(2-methoxy-2-oxoethyl)-5-[2-[(E)-3-phenylprop-2-enoyl]oxyethylidene]-6-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4H-pyran-3-carboxylic acid","(4S,5Z,6S)-4-(2-methoxy-2-oxoethyl)-5-[2-[(E)-3-phenylprop-2-enoyl]oxyethylidene]-6-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4H-pyran-3-carboxylic acid-isoform4",4943622.033,"pos",TRUE,"C10H18O4",202.11965,17.9,NA,FALSE
"Compound_0059",15867609.61,11609430.2433333,0.450787637764573,0.12014002892777,0.22234871025438,1.0249178822659,"(4Z)-3-Oxo-4-(phenylhydrazono)-3,4-dihydro-2,7-naphthalenedisulfonic acid","(4Z)-3-Oxo-4-(phenylhydrazono)-3,4-dihydro-2,7-naphthalenedisulfonic acid",13420618.93,"pos",FALSE,"C16H12N2O7S2",408.01015,1.698,NA,FALSE
"Compound_0060",12501054.0133333,8102304.30966667,0.625645562857237,0.000976516716915101,0.0349073359892374,1.29101600587666,"(5R,6R,13R,21S)-5,13-Bis(3,4-dihydroxyphenyl)-6,9,17,19-tetrahydroxy-4,12,14-trioxapentacyclo[11.7.1.0~2,11~.0~3,8~.0~15,20~]henicosa-2,8,10,15,17,19-hexaen-21-yl beta-D-galactopyranoside","(5R,6R,13R,21S)-5,13-Bis(3,4-dihydroxyphenyl)-6,9,17,19-tetrahydroxy-4,12,14-trioxapentacyclo[11.7.1.0~2,11~.0~3,8~.0~15,20~]henicosa-2,8,10,15,17,19-hexaen-21-yl beta-D-galactopyranoside",10628118.45,"pos",FALSE,"C36H34O17",738.17861,6.416,NA,FALSE
"Compound_0061",66774770.2266667,13871098.0066667,2.26722111366819,0.00884699009885034,0.0580171106303337,1.27726942524292,"(7E,13E)-9,15-dihydroxy-4,10,16-trimethyl-1,5,11-trioxacyclohexadeca-7,13-diene-2,6,12-trione","(7E,13E)-9,15-dihydroxy-4,10,16-trimethyl-1,5,11-trioxacyclohexadeca-7,13-diene-2,6,12-trione",44101403.37,"pos",FALSE,"C16H22O8",364.1117,7.375,NA,FALSE
"Compound_0062",44876596.2766667,18263898.7333333,1.29696849155091,0.111299192830959,0.211520834878527,1.02901466604161,"(7R)-6-deoxy-D-manno-oct-7-ulosuronic acid","(7R)-6-deoxy-D-manno-oct-7-ulosuronic acid",40206930.6,"pos",FALSE,"C8H12O8",236.05229,1.854,NA,TRUE
"Compound_0063",4368281.108,2662453.699,0.714309263094133,0.146296483686752,0.248503616125442,0.950535841583818,"(Diethylamino)[(diethylamino)sulfanyl]methanone","(Diethylamino)[(diethylamino)sulfanyl]methanone",3384562.94,"pos",FALSE,"C9H20N2OS",204.12875,5.626,NA,FALSE
