"CompoundID","mf","mw","Name","Compound_id","Compound_common_name","Compound_synonyms","Molecular_weight","Smiles","Links","EC","Reaction_equation","Pathway","TERM","LINK","judge"
"Compound_0043","C6H6O5",158.02082,"(2Z,4E)-2-hydroxymuconic acid-isoform2","2K-ADIPATE","2-oxoadipate","2-ketoadipate*&alpha;-ketoadipate*2-keto-adipate*2-oxohexanedionic acid",158.11,"C(CC(=O)C(=O)[O-])CC(=O)[O-]","REFMET:Oxoadipic acid*METABOLIGHTS:MTBLC57499*HMDB:HMDB00225*CHEMSPIDER:19951093*CHEBI:57499*PUBCHEM:23615192*LIGAND-CPD:C00322*CAS:3184-35-8","EC-2.6.1.39","2-oxoglutarate + L-2-aminoadipate  ->  L-glutamate + 2-oxoadipate","lysine degradation III","PWYQT-1","HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWYQT-1","T"
"Compound_0043","C6H6O5",158.02082,"(2Z,4E)-2-hydroxymuconic acid-isoform2","2K-ADIPATE","2-oxoadipate","2-ketoadipate*&alpha;-ketoadipate*2-keto-adipate*2-oxohexanedionic acid",158.11,"C(CC(=O)C(=O)[O-])CC(=O)[O-]","REFMET:Oxoadipic acid*METABOLIGHTS:MTBLC57499*HMDB:HMDB00225*CHEMSPIDER:19951093*CHEBI:57499*PUBCHEM:23615192*LIGAND-CPD:C00322*CAS:3184-35-8","EC-2.6.1.39","2-oxoglutarate + L-2-aminoadipate  ->  L-glutamate + 2-oxoadipate","lysine degradation II","LYSINE-DEG2-PWY","HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=LYSINE-DEG2-PWY","T"
"Compound_0205","C7H8O4",156.04159,"2_3-Dihydro-2_3-dihydroxybenzoate","CPD-9451","2-isopropylmaleate","&beta;-isopropylmaleate*2-isopropylmaleic acid",156.138,"CC(C(\\C(=O)[O-])=C\\C(=O)[O-])C","REFMET:Isopropylmaleate*BIGG:2ippm*HMDB:HMDB12241*BIGG:40241*CHEMSPIDER:10710392*CHEBI:58085*PUBCHEM:21954611*LIGAND-CPD:C02631","3-ISOPROPYLMALISOM-RXN","2-isopropylmaleate + H2O  <-->  (2S)-2-isopropylmalate","L-leucine biosynthesis","LEUSYN-PWY","HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=LEUSYN-PWY","T"
"Compound_0205","C7H8O4",156.04159,"2_3-Dihydro-2_3-dihydroxybenzoate","CPD-9451","2-isopropylmaleate","&beta;-isopropylmaleate*2-isopropylmaleic acid",156.138,"CC(C(\\C(=O)[O-])=C\\C(=O)[O-])C","REFMET:Isopropylmaleate*BIGG:2ippm*HMDB:HMDB12241*BIGG:40241*CHEMSPIDER:10710392*CHEBI:58085*PUBCHEM:21954611*LIGAND-CPD:C02631","RXN-8991","(2R,3S)-3-isopropylmalate  <-->  2-isopropylmaleate + H2O","L-leucine biosynthesis","LEUSYN-PWY","HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=LEUSYN-PWY","T"
"Compound_0207","C7H14N2O4",190.09453,"2_6-Diaminoheptanedioicacid","MESO-DIAMINOPIMELATE","meso-diaminopimelate","meso-2,6-diaminopimelate*meso-A<SUB>2</SUB>pm*meso-diaminoheptanedioate*meso-2,6-diaminoheptanedioate*meso-1-&alpha;,&epsilon;-diaminopimelate*D,L-diaminopimelate*D,L-DAP*D,L-meso-diaminoheptanedioate*M-DAP",190.199,"C([C@H](CCC[C@H](C([O-])=O)[NH3+])[NH3+])([O-])=O","REFMET:2,6-diaminopimelic acid*BIGG:26dap__M*METABOLIGHTS:MTBLC57791*BIGG:35681*CHEBI:57791*PUBCHEM:1549101*LIGAND-CPD:C00680*CAS:922-54-3","EC-4.1.1.20","meso-diaminopimelate + H+  ->  CO2 + L-lysine","L-lysine biosynthesis VI","PWY-5097","HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5097","T"
"Compound_0207","C7H14N2O4",190.09453,"2_6-Diaminoheptanedioicacid","MESO-DIAMINOPIMELATE","meso-diaminopimelate","meso-2,6-diaminopimelate*meso-A<SUB>2</SUB>pm*meso-diaminoheptanedioate*meso-2,6-diaminoheptanedioate*meso-1-&alpha;,&epsilon;-diaminopimelate*D,L-diaminopimelate*D,L-DAP*D,L-meso-diaminoheptanedioate*M-DAP",190.199,"C([C@H](CCC[C@H](C([O-])=O)[NH3+])[NH3+])([O-])=O","REFMET:2,6-diaminopimelic acid*BIGG:26dap__M*METABOLIGHTS:MTBLC57791*BIGG:35681*CHEBI:57791*PUBCHEM:1549101*LIGAND-CPD:C00680*CAS:922-54-3","EC-5.1.1.7","L,L-diaminopimelate  ->  meso-diaminopimelate","L-lysine biosynthesis VI","PWY-5097","HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5097","T"
"Compound_0207","C7H14N2O4",190.09453,"2_6-Diaminoheptanedioicacid","LL-DIAMINOPIMELATE","L,L-diaminopimelate","L,L-A2pm*L,L-DAP*L,L-2,6-diaminopimelate*L,L-2,6-diaminoheptanedioate",190.199,"C([C@H](CCC[C@@H](C([O-])=O)[NH3+])[NH3+])([O-])=O","BIGG:26dap_LL*METABOLIGHTS:MTBLC57609*HMDB:HMDB01370*BIGG:35647*CHEBI:57609*PUBCHEM:1549100*CAS:583-93-7*LIGAND-CPD:C00666*CAS:14289-34-0","EC-5.1.1.7","L,L-diaminopimelate  ->  meso-diaminopimelate","L-lysine biosynthesis VI","PWY-5097","HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5097","T"
"Compound_0207","C7H14N2O4",190.09453,"2_6-Diaminoheptanedioicacid","LL-DIAMINOPIMELATE","L,L-diaminopimelate","L,L-A2pm*L,L-DAP*L,L-2,6-diaminopimelate*L,L-2,6-diaminoheptanedioate",190.199,"C([C@H](CCC[C@@H](C([O-])=O)[NH3+])[NH3+])([O-])=O","BIGG:26dap_LL*METABOLIGHTS:MTBLC57609*HMDB:HMDB01370*BIGG:35647*CHEBI:57609*PUBCHEM:1549100*CAS:583-93-7*LIGAND-CPD:C00666*CAS:14289-34-0","EC-2.6.1.83","L,L-diaminopimelate + 2-oxoglutarate  <-->  (S)-2,3,4,5-tetrahydrodipicolinate + L-glutamate + H2O + H+","L-lysine biosynthesis VI","PWY-5097","HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5097","T"
"Compound_0260","C9H8O4",180.04153,"2-Hydroxy-3-(4-hydroxyphenyl)propenoate","CPD-9800","2,4-dihydroxycinnamate","2,4-dihydroxycinnamicacid",180.16,"C(/C=C/C1(/C(/O)=C\\C(\\O)=C/C=1))(=O)O","","RXN-9261","2,4-dihydroxycinnamate  ->  umbelliferone","simple coumarins biosynthesis","PWY-5868","HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5868","T"
"Compound_0260","C9H8O4",180.04153,"2-Hydroxy-3-(4-hydroxyphenyl)propenoate","CPD-9800","2,4-dihydroxycinnamate","2,4-dihydroxycinnamicacid",180.16,"C(/C=C/C1(/C(/O)=C\\C(\\O)=C/C=1))(=O)O","","RXN-9260","4-coumarate  ->  2,4-dihydroxycinnamate","simple coumarins biosynthesis","PWY-5868","HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5868","T"
"Compound_0269","C8H8O2",136.05175,"2-Hydroxyacetophenone-isoform1","CPD-6441","methyl benzoate","benzoic acid methyl ester*methyl benzenecarboxylate",136.15,"COC(C1(\\C=C/C=C\\C=1))=O","CHEBI:116970*LIGAND-CPD:C20645*METABOLIGHTS:MTBLC72775*HMDB:HMDB33968*CHEBI:72775*CHEMSPIDER:6883*PUBCHEM:7150","EC-2.1.1.273","S-adenosyl-L-methionine + benzoate  ->  methyl benzoate + S-adenosyl-L-homocysteine","volatile benzenoid biosynthesis I (ester formation)","PWY-4203","HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-4203","T"
"Compound_0269","C8H8O2",136.05175,"2-Hydroxyacetophenone-isoform1","HYDRPHENYLAC-CPD","(4-hydroxyphenyl)acetaldehyde","HPAL",136.15,"C(=O)CC1(\\C=C/C(/O)=C\\C=1)","REFMET:4-Hydroxyphenylacetaldehyde*BIGG:4hoxpacd*METABOLIGHTS:MTBLC15621*HMDB:HMDB03767*BIGG:42489*CHEMSPIDER:15403391*CAS:7339-87-9*PUBCHEM:440113*CHEBI:15621*LIGAND-CPD:C03765","EC-1.4.3.4","tyramine + oxygen + H2O  ->  (4-hydroxyphenyl)acetaldehyde + ammonium + hydrogen peroxide","salidroside biosynthesis","PWY-6802","HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6802","T"
"Compound_0269","C8H8O2",136.05175,"2-Hydroxyacetophenone-isoform1","HYDRPHENYLAC-CPD","(4-hydroxyphenyl)acetaldehyde","HPAL",136.15,"C(=O)CC1(\\C=C/C(/O)=C\\C=1)","REFMET:4-Hydroxyphenylacetaldehyde*BIGG:4hoxpacd*METABOLIGHTS:MTBLC15621*HMDB:HMDB03767*BIGG:42489*CHEMSPIDER:15403391*CAS:7339-87-9*PUBCHEM:440113*CHEBI:15621*LIGAND-CPD:C03765","EC-1.1.1.1","(4-hydroxyphenyl)acetaldehyde + NADH + H+  ->  4-tyrosol + NAD+","salidroside biosynthesis","PWY-6802","HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6802","T"
"Compound_0270","C8H8O2",136.05174,"2-Hydroxyacetophenone-isoform2","CPD-6441","methyl benzoate","benzoic acid methyl ester*methyl benzenecarboxylate",136.15,"COC(C1(\\C=C/C=C\\C=1))=O","CHEBI:116970*LIGAND-CPD:C20645*METABOLIGHTS:MTBLC72775*HMDB:HMDB33968*CHEBI:72775*CHEMSPIDER:6883*PUBCHEM:7150","EC-2.1.1.273","S-adenosyl-L-methionine + benzoate  ->  methyl benzoate + S-adenosyl-L-homocysteine","volatile benzenoid biosynthesis I (ester formation)","PWY-4203","HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-4203","T"
"Compound_0270","C8H8O2",136.05174,"2-Hydroxyacetophenone-isoform2","HYDRPHENYLAC-CPD","(4-hydroxyphenyl)acetaldehyde","HPAL",136.15,"C(=O)CC1(\\C=C/C(/O)=C\\C=1)","REFMET:4-Hydroxyphenylacetaldehyde*BIGG:4hoxpacd*METABOLIGHTS:MTBLC15621*HMDB:HMDB03767*BIGG:42489*CHEMSPIDER:15403391*CAS:7339-87-9*PUBCHEM:440113*CHEBI:15621*LIGAND-CPD:C03765","EC-1.4.3.4","tyramine + oxygen + H2O  ->  (4-hydroxyphenyl)acetaldehyde + ammonium + hydrogen peroxide","salidroside biosynthesis","PWY-6802","HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6802","T"
"Compound_0270","C8H8O2",136.05174,"2-Hydroxyacetophenone-isoform2","HYDRPHENYLAC-CPD","(4-hydroxyphenyl)acetaldehyde","HPAL",136.15,"C(=O)CC1(\\C=C/C(/O)=C\\C=1)","REFMET:4-Hydroxyphenylacetaldehyde*BIGG:4hoxpacd*METABOLIGHTS:MTBLC15621*HMDB:HMDB03767*BIGG:42489*CHEMSPIDER:15403391*CAS:7339-87-9*PUBCHEM:440113*CHEBI:15621*LIGAND-CPD:C03765","EC-1.1.1.1","(4-hydroxyphenyl)acetaldehyde + NADH + H+  ->  4-tyrosol + NAD+","salidroside biosynthesis","PWY-6802","HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6802","T"
"Compound_0271","C8H8O2",136.05176,"2-Hydroxyacetophenone-isoform3","CPD-6441","methyl benzoate","benzoic acid methyl ester*methyl benzenecarboxylate",136.15,"COC(C1(\\C=C/C=C\\C=1))=O","CHEBI:116970*LIGAND-CPD:C20645*METABOLIGHTS:MTBLC72775*HMDB:HMDB33968*CHEBI:72775*CHEMSPIDER:6883*PUBCHEM:7150","EC-2.1.1.273","S-adenosyl-L-methionine + benzoate  ->  methyl benzoate + S-adenosyl-L-homocysteine","volatile benzenoid biosynthesis I (ester formation)","PWY-4203","HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-4203","T"
"Compound_0271","C8H8O2",136.05176,"2-Hydroxyacetophenone-isoform3","HYDRPHENYLAC-CPD","(4-hydroxyphenyl)acetaldehyde","HPAL",136.15,"C(=O)CC1(\\C=C/C(/O)=C\\C=1)","REFMET:4-Hydroxyphenylacetaldehyde*BIGG:4hoxpacd*METABOLIGHTS:MTBLC15621*HMDB:HMDB03767*BIGG:42489*CHEMSPIDER:15403391*CAS:7339-87-9*PUBCHEM:440113*CHEBI:15621*LIGAND-CPD:C03765","EC-1.4.3.4","tyramine + oxygen + H2O  ->  (4-hydroxyphenyl)acetaldehyde + ammonium + hydrogen peroxide","salidroside biosynthesis","PWY-6802","HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6802","T"
"Compound_0271","C8H8O2",136.05176,"2-Hydroxyacetophenone-isoform3","HYDRPHENYLAC-CPD","(4-hydroxyphenyl)acetaldehyde","HPAL",136.15,"C(=O)CC1(\\C=C/C(/O)=C\\C=1)","REFMET:4-Hydroxyphenylacetaldehyde*BIGG:4hoxpacd*METABOLIGHTS:MTBLC15621*HMDB:HMDB03767*BIGG:42489*CHEMSPIDER:15403391*CAS:7339-87-9*PUBCHEM:440113*CHEBI:15621*LIGAND-CPD:C03765","EC-1.1.1.1","(4-hydroxyphenyl)acetaldehyde + NADH + H+  ->  4-tyrosol + NAD+","salidroside biosynthesis","PWY-6802","HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6802","T"
"Compound_0291","C30H44O2",436.33221,"2-Phytyl-1_4-naphthoquinone","CPD-6947","demethylphylloquinone","2-phytyl-1,4-naphtoquinone",436.676,"CC(CCC[C@H](CCC[C@@H](C)CCCC(\\C)=C/CC1(\\C(=O)C2(\\C(\\C(\\C=1)=O)=C/C=C\\C=2)))C)C","PUBCHEM:56927684*HMDB:HMDB04649*CHEBI:31087*CHEMSPIDER:10128305*LIGAND-CPD:C13309","EC-1.6.5.12","demethylphylloquinone + NADPH + H+  ->  demethylphylloquinol + NADP+","phylloquinol biosynthesis","PWY-5027","HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5027","T"
"Compound_0291","C30H44O2",436.33221,"2-Phytyl-1_4-naphthoquinone","CPD-6947","demethylphylloquinone","2-phytyl-1,4-naphtoquinone",436.676,"CC(CCC[C@H](CCC[C@@H](C)CCCC(\\C)=C/CC1(\\C(=O)C2(\\C(\\C(\\C=1)=O)=C/C=C\\C=2)))C)C","PUBCHEM:56927684*HMDB:HMDB04649*CHEBI:31087*CHEMSPIDER:10128305*LIGAND-CPD:C13309","EC-2.5.1.130","2-carboxy-1,4-naphthoquinone + phytyl diphosphate + H+  ->  demethylphylloquinone + CO2 + diphosphate","phylloquinol biosynthesis","PWY-5027","HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5027","T"
"Compound_0304","C30H46O2",438.34779,"2,2'-ETHYLIDENEBIS(4,6-DI-TERT-BUTYLPHENOL)-isoform1","CPD-12830","demethylphylloquinol","2-phytyl-1,4-naphthoquinol*2-phytyl-1,4-naphtoquinol*3-phytyl-1,4-naphtoquinol",438.692,"CC(CCC[C@H](CCC[C@@H](C)CCCC(\\C)=C/CC1(/C=C(C2(/C=C\\C=C/C(/C(/O)=1)=2))/O))C)C","PUBCHEM:49859625*CHEBI:87844*PUBCHEM:91820032","EC-2.1.1.329","S-adenosyl-L-methionine + demethylphylloquinol  ->  S-adenosyl-L-homocysteine + phylloquinol + H+","phylloquinol biosynthesis","PWY-5027","HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5027","T"
"Compound_0304","C30H46O2",438.34779,"2,2'-ETHYLIDENEBIS(4,6-DI-TERT-BUTYLPHENOL)-isoform1","CPD-12830","demethylphylloquinol","2-phytyl-1,4-naphthoquinol*2-phytyl-1,4-naphtoquinol*3-phytyl-1,4-naphtoquinol",438.692,"CC(CCC[C@H](CCC[C@@H](C)CCCC(\\C)=C/CC1(/C=C(C2(/C=C\\C=C/C(/C(/O)=1)=2))/O))C)C","PUBCHEM:49859625*CHEBI:87844*PUBCHEM:91820032","EC-1.6.5.12","demethylphylloquinone + NADPH + H+  ->  demethylphylloquinol + NADP+","phylloquinol biosynthesis","PWY-5027","HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5027","T"
"Compound_0305","C30H46O2",438.34769,"2,2'-ETHYLIDENEBIS(4,6-DI-TERT-BUTYLPHENOL)-isoform2","CPD-12830","demethylphylloquinol","2-phytyl-1,4-naphthoquinol*2-phytyl-1,4-naphtoquinol*3-phytyl-1,4-naphtoquinol",438.692,"CC(CCC[C@H](CCC[C@@H](C)CCCC(\\C)=C/CC1(/C=C(C2(/C=C\\C=C/C(/C(/O)=1)=2))/O))C)C","PUBCHEM:49859625*CHEBI:87844*PUBCHEM:91820032","EC-2.1.1.329","S-adenosyl-L-methionine + demethylphylloquinol  ->  S-adenosyl-L-homocysteine + phylloquinol + H+","phylloquinol biosynthesis","PWY-5027","HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5027","T"
"Compound_0305","C30H46O2",438.34769,"2,2'-ETHYLIDENEBIS(4,6-DI-TERT-BUTYLPHENOL)-isoform2","CPD-12830","demethylphylloquinol","2-phytyl-1,4-naphthoquinol*2-phytyl-1,4-naphtoquinol*3-phytyl-1,4-naphtoquinol",438.692,"CC(CCC[C@H](CCC[C@@H](C)CCCC(\\C)=C/CC1(/C=C(C2(/C=C\\C=C/C(/C(/O)=1)=2))/O))C)C","PUBCHEM:49859625*CHEBI:87844*PUBCHEM:91820032","EC-1.6.5.12","demethylphylloquinone + NADPH + H+  ->  demethylphylloquinol + NADP+","phylloquinol biosynthesis","PWY-5027","HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5027","T"
"Compound_0307","C30H46O2",438.34805,"2,2'-ETHYLIDENEBIS(4,6-DI-TERT-BUTYLPHENOL)-isoform4","CPD-12830","demethylphylloquinol","2-phytyl-1,4-naphthoquinol*2-phytyl-1,4-naphtoquinol*3-phytyl-1,4-naphtoquinol",438.692,"CC(CCC[C@H](CCC[C@@H](C)CCCC(\\C)=C/CC1(/C=C(C2(/C=C\\C=C/C(/C(/O)=1)=2))/O))C)C","PUBCHEM:49859625*CHEBI:87844*PUBCHEM:91820032","EC-2.1.1.329","S-adenosyl-L-methionine + demethylphylloquinol  ->  S-adenosyl-L-homocysteine + phylloquinol + H+","phylloquinol biosynthesis","PWY-5027","HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5027","T"
"Compound_0307","C30H46O2",438.34805,"2,2'-ETHYLIDENEBIS(4,6-DI-TERT-BUTYLPHENOL)-isoform4","CPD-12830","demethylphylloquinol","2-phytyl-1,4-naphthoquinol*2-phytyl-1,4-naphtoquinol*3-phytyl-1,4-naphtoquinol",438.692,"CC(CCC[C@H](CCC[C@@H](C)CCCC(\\C)=C/CC1(/C=C(C2(/C=C\\C=C/C(/C(/O)=1)=2))/O))C)C","PUBCHEM:49859625*CHEBI:87844*PUBCHEM:91820032","EC-1.6.5.12","demethylphylloquinone + NADPH + H+  ->  demethylphylloquinol + NADP+","phylloquinol biosynthesis","PWY-5027","HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5027","T"
"Compound_0340","C19H20O5",328.12973,"2',3',4',6'-Tetramethoxychalcone-isoform2","CPD-498","gibberellin A51-catabolite","GA<sub>51</sub>-catabolite*gibberellin A<sub>51</sub>-catabolite*gibberellin A51-catabolite*GA51-catabolite",328.364,"C=C1([C@H]2(C[C@]3(C1)([C@H]([C@@H]4([C@@](C([O-])=O)(C)CC(=O)C=C([C@@H](CC2)3)4))C([O-])=O)))","REFMET:Gibberellin A51-catabolite*METABOLIGHTS:MTBLC29600*LIPID_MAPS:LMPR0104170011*CHEBI:29600*PUBCHEM:25201559*LIGAND-CPD:C11854","EC-1.14.20","gibberellin A51 + 2-oxoglutarate + oxygen  ->  gibberellin A51-catabolite + succinate + CO2 + H+ + H2O","gibberellin inactivation I (2beta-hydroxylation)","PWY-102","HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-102","T"
